# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
btime3	Platform / Action	2	vertical	btime	Burger Time (Data East USA)	1982	Data East USA Inc.
btimem	Platform / Action	2	vertical	btime	Burger Time (Midway)	1982	Data East (Bally Midway license)
btlfield	Run & gun	2	vertical	timesold	Battle Field (Japan)	1987	Alpha Denshi Co. (SNK license)
btlfieldb	Run & gun	2	vertical	timesold	Battle Field (bootleg)	1987	bootleg
btlkroad	Fighting	2	horizontal		Battle K-Road	1994	Psikyo
btlkroadk	Fighting	2	horizontal	btlkroad	Battle K-Road (Korea)	1994	Psikyo
btoads	Beat 'em up	3	horizontal		Battletoads	1994	Rare / Electronic Arts
bub68705	Platform	2	horizontal	bublbobl	Bubble Bobble (bootleg with 68705)	1986	bootleg
bub68705a	Platform	2	horizontal	bublbobl	Bubble Bobble (boolteg with 68705, set 2)	1986	bootleg
bubblem	Platform	2	horizontal		Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)	1995	Taito Corporation Japan
bubblembe	Platform	2	horizontal	bubblem	Bubble Memories: Black Edition (Hack)	2020	rtw, MetalliC
bubblemj	Platform	2	horizontal	bubblem	Bubble Memories: The Story Of Bubble Bobble III (Ver 2.3J 1996/02/07)	1995	Taito Corporation
bubblemu	Platform	2	horizontal	bubblem	Bubble Memories: The Story Of Bubble Bobble III (Ver 2.5A 1996/02/21)	1995	Taito America Corporation
bubbles	Action	2	horizontal		Bubbles	1982	Williams
bubblesp	Action	2	horizontal	bubbles	Bubbles (prototype)	1982	Williams
bubblesr	Action	2	horizontal	bubbles	Bubbles (Solid Red label)	1982	Williams
bubl2000	Puzzle	2	horizontal		Bubble 2000	1998	Afega (Tuning license)
bubl2000a	Puzzle	2	horizontal	bubl2000	Bubble 2000 V1.2	1998	Afega (Tuning license)
bublbob2	Platform	2	horizontal		Bubble Bobble II (Ver 2.6O 1994/12/16)	1994	Taito Corporation Japan
bublbob2o	Platform	2	horizontal	bublbob2	Bubble Bobble II (Ver 2.5O 1994/10/05)	1994	Taito Corporation Japan
bublbob2p	Platform	2	horizontal	bublbob2	Bubble Bobble II (Ver 0.0J 1993/12/13, prototype)	1994	Taito Corporation Japan
bublbobl	Platform	2	horizontal		Bubble Bobble (Japan, Ver 0.1)	1986	Taito Corporation
bublbobl1	Platform	2	horizontal	bublbobl	Bubble Bobble (Japan, Ver 0.0)	1986	Taito Corporation
bublboblb	Platform	2	horizontal	bublbobl	Bubble Bobble (for Bobble Bobble PCB)	2013	bootleg (Aladar)
bublboblp	Platform	2	horizontal	bublbobl	Bubble Bobble (prototype on Tokio hardware)	1986	Taito Corporation
bublboblr	Platform	2	horizontal	bublbobl	Bubble Bobble (US, Ver 5.1)	1986	Taito America Corporation (Romstar license)
bublboblr1	Platform	2	horizontal	bublbobl	Bubble Bobble (US, Ver 1.0)	1986	Taito America Corporation (Romstar license)
bublboblu	Platform	2	horizontal	bublbobl	Bubble Bobble (Ultra Version, Hack)	2011	Hack (Penta Penguin)
bublbust	Puzzle	2	horizontal	pbobble	Bubble Buster (USA, B-System)	1994	Taito America Corporation
bublcave	Platform	2	horizontal	bublbobl	Bubble Bobble: Lost Cave V1.2	2013	hack (Bisboch and Aladar)
bublcave10	Platform	2	horizontal	bublbobl	Bubble Bobble: Lost Cave V1.0	2012	hack (Bisboch and Aladar)
